DIA;VOLUME
2018-02-28;30
2018-02-27;26
2018-02-26;35
2018-02-25;2
2018-02-24;6
2018-02-23;19
2018-02-22;19
2018-02-21;25
2018-02-20;31
2018-02-19;25
2018-02-18;4
2018-02-17;5
2018-02-16;26
2018-02-15;32
2018-02-14;27
2018-02-13;1
2018-02-12;7
2018-02-11;2
2018-02-09;24
2018-02-08;26
2018-02-07;20
2018-02-06;24
2018-02-05;21
2018-02-04;1
2018-02-03;3
2018-02-02;42
2018-02-01;17
2018-01-31;17
2018-01-30;34
2018-01-29;17
2018-01-28;2
2018-01-27;2
2018-01-26;18
2018-01-25;26
2018-01-24;17
2018-01-23;30
2018-01-22;48
2018-01-21;2
2018-01-20;1
2018-01-19;19
2018-01-18;20
2018-01-17;34
2018-01-16;32
2018-01-15;28
2018-01-14;1
2018-01-13;4
2018-01-12;18
2018-01-11;29
2018-01-10;32
2018-01-09;26
2018-01-08;37
2018-01-07;2
2018-01-06;4
